producttype,productvariant,A1-A3, A4 ,A5 ,C1 ,C1/1 ,C1/2,C2 ,C2/1 ,C2/2,C3 ,C3/1 ,C3/2,C4 ,C4/1,C4/2, D ,D/1,D/2,(A1-C4),(A1-C4)/1,(A1-C4)/2
LIGNA,Ligna L 38 Wood-based panels for raised floor,-3.35E+01,1.91E-01,1.04E-01,0.00E+00,0.00E+00,,2.10E-01,2.10E-01,,3.75E-01,3.87E+01,,3.79E+01,5.88E-03,,-4.45E+01,-1.15E+01,,5.29E+00,5.73E+00,
LIGNA ST,Ligna L 38 ST Wood-based panels for raised floor,-2.56E+01,2.16E-01,1.04E-01,0.00E+00,0.00E+00,,2.12E-01,2.33E-01,,1.01E+00,4.23E+01,,3.79E+01,2.06E-02,,-4.83E+01,-1.27E+01,,1.38E+01,1.72E+01,
LIGNA ST ST,Ligna L 38 ST ST Wood-based panels for raised floor,-1.78E+01,2.42E-01,1.04E-01,0.00E+00,0.00E+00,,2.15E-01,2.56E-01,,1.65E+00,4.59E+01,,3.79E+01,3.53E-02,,-5.20E+01,-1.39E+01,,2.23E+01,2.87E+01,
LIGNA,Ligna S 38 Wood-based panels for raised floor,-3.45E+01,1.96E-01,1.07E-01,0.00E+00,0.00E+00,,2.16E-01,2.16E-01,,3.86E-01,3.98E+01,,3.90E+01,6.06E-03,,-4.58E+01,-1.18E+01,,5.45E+00,5.90E+00,
LIGNA ST,Ligna S 38 ST Wood-based panels for raised floor,-2.66E+01,2.22E-01,1.07E-01,0.00E+00,0.00E+00,,2.18E-01,2.39E-01,,1.02E+00,4.34E+01,,3.90E+01,2.08E-02,,-4.96E+01,-1.30E+01,,1.39E+01,1.74E+01,
LIGNA ST ST,Ligna S 38 ST ST Wood-based panels for raised floor,-1.88E+01,2.48E-01,1.07E-01,0.00E+00,0.00E+00,,2.21E-01,2.62E-01,,1.66E+00,4.71E+01,,3.90E+01,3.55E-02,,-5.33E+01,-1.42E+01,,2.24E+01,2.89E+01,
LIGNA,Ligna M 38 Wood-based panels for raised floor,-3.35E+01,1.91E-01,1.04E-01,0.00E+00,0.00E+00,,2.10E-01,2.10E-01,,3.75E-01,3.87E+01,,3.79E+01,5.88E-03,,-4.45E+01,-1.15E+01,,5.29E+00,5.73E+00,
LIGNA ST,Ligna M 38 ST Wood-based panels for raised floor,-2.56E+01,2.16E-01,1.04E-01,0.00E+00,0.00E+00,,2.12E-01,2.33E-01,,1.01E+00,4.23E+01,,3.79E+01,2.06E-02,,-4.83E+01,-1.27E+01,,1.38E+01,1.72E+01,
LIGNA ST ST,Ligna M 38 ST ST Wood-based panels for raised floor,-1.78E+01,2.42E-01,1.04E-01,0.00E+00,0.00E+00,,2.15E-01,2.56E-01,,1.65E+00,4.59E+01,,3.79E+01,3.53E-02,,-5.20E+01,-1.39E+01,,2.23E+01,2.87E+01,
LIGNA,Provisorium 38 Wood-based panels for raised floor,-3.35E+01,1.91E-01,1.04E-01,0.00E+00,0.00E+00,,2.10E-01,2.10E-01,,3.75E-01,3.87E+01,,3.79E+01,5.88E-03,,-4.45E+01,-1.15E+01,,5.29E+00,5.73E+00,
FLOOR and more®,FLOOR and more® hollow floor,9.59E+00,4.24E-01,7.58E-01,0.00E+00,0.00E+00,5.50E-03,2.09E-01,3.95E-01,1.35E-01,0.00E+00,7.11E+00,5.28E+00,6.25E+00,4.51E-01,5.07E-01,-5.17E-01,-1.03E+01,-1.56E+01,1.72E+01,1.87E+01,1.67E+01
FLOOR and more®,FLOOR and more® G30,7.80E+00,3.45E-01,6.16E-01,0.00E+00,0.00E+00,4.47E-03,1.70E-01,3.21E-01,1.10E-01,0.00E+00,5.78E+00,4.29E+00,5.08E+00,3.67E-01,4.12E-01,-4.20E-01,-8.38E+00,-1.27E+01,1.40E+01,1.52E+01,1.36E+01
